Company_ID,Company_Name,Company_Industry,Company_Size,Company_Ownership,Company_Funding,Country,Interest_Area
CMP_HCI,Honda Cars India,Technology,Medium Enterprise,Franchise,Series B,India,AI
CMP_RI,Renault India,Finance,Small business,Franchise,Series B,India,T&M
CMP_NMI,Nissan Motor India,E-Commerce,Large Enterprise,Franchise,Seed,India,Staffing
CMP_G_0109,GlobalPartners,Banking,Small business,Joint Venture,Seed,Saudi Arabia,Consulting
CMP_S_0110,StrategicConsulting,Banking,Large Enterprise,Franchise,Series B,UK,Consulting
CMP_I_0111,InnovativeSolutions,Energy,Start-up,Private Sector,Series B,Bahrain,Data
CMP_A_0112,AdvancedAnalytics,Mining,Small business,Franchise,Seed,Kenya,Service
CMP_D_0113,DynamicTech,Technology,Small business,Joint Venture,Series B,S. Korea,T&M
CMP_A_0114,AdvancedAnalytics,Energy,Start-up,Public Sector,IPO,Mexico,Operations
CMP_L_0115,LeadingSystems,Real Estate,Large Enterprise,Franchise,Series A,Saudi Arabia,Data
CMP_D_0116,DynamicPartners,Manufacturing,Medium Enterprise,Franchise,IPO,Mexico,Operations
CMP_I_0117,InnovativeConsulting,Healthcare,Medium Enterprise,Franchise,Series B,USA,Marketing
CMP_C_0118,CreativeSolutions,Healthcare,Start-up,Private Sector,Seed,USA,Data
CMP_L_0119,LeadingIndustries,Technology,Start-up,Private Sector,Series B,Singapore,T&M
CMP_L_0120,LeadingIndustries,Finance,Small business,Joint Venture,Bootstrapped,India,T&M
CMP_L_0121,LeadingAnalytics,Retail,Large Enterprise,Joint Venture,Series B,USA,Data
CMP_D_0122,DynamicTech,Technology,Small business,Private Sector,Seed,Australia,Staffing
CMP_F_0123,FutureIndustries,Finance,Medium Enterprise,Public Sector,Seed,Japan,AI
CMP_G_0124,GlobalAnalytics,Technology,Medium Enterprise,Private Sector,IPO,USA,Marketing
CMP_L_0125,LeadingVentures,Pharmaceuticals,Medium Enterprise,Joint Venture,Series B,Germany,Consulting
CMP_G_0126,GlobalAnalytics,Automotive,Large Enterprise,Private Sector,Series B,Israel,Operations
CMP_G_0127,GlobalVentures,Energy,Medium Enterprise,Public Sector,Series A,Mexico,Logistics
CMP_S_0128,StrategicVentures,Technology,Large Enterprise,Franchise,IPO,Canada,Cloud
CMP_S_0129,StrategicPartners,Finance,Medium Enterprise,Public Sector,IPO,USA,Marketing
CMP_C_0130,CreativeSystems,Technology,Medium Enterprise,Public Sector,Series B,Singapore,T&M
CMP_C_0131,CreativeAnalytics,Energy,Small business,Franchise,Series A,Saudi Arabia,Consulting
CMP_G_0132,GlobalTech,Technology,Start-up,Private Sector,IPO,USA,Marketing
CMP_A_0133,AdvancedIndustries,Agriculture,Large Enterprise,Private Sector,Seed,Peru,Operations
CMP_S_0134,StrategicIndustries,Automotive,Small business,Public Sector,Seed,Israel,Consulting
CMP_F_0135,FutureSystems,Real Estate,Medium Enterprise,Franchise,Series A,Saudi Arabia,Consulting
CMP_I_0136,InnovativeVentures,Mining,Start-up,Franchise,Series B,Kenya,Staffing
CMP_G_0137,GlobalSystems,Mining,Medium Enterprise,Joint Venture,Bootstrapped,Mozambique,Staffing
CMP_L_0138,LeadingPartners,Healthcare,Medium Enterprise,Franchise,Seed,Canada,Data
CMP_I_0139,InnovativeSolutions,Manufacturing,Medium Enterprise,Public Sector,Series B,Peru,Operations
CMP_C_0140,CreativeSystems,Manufacturing,Large Enterprise,Private Sector,Seed,Chile,Operations
CMP_C_0141,CreativeAnalytics,Pharmaceuticals,Large Enterprise,Private Sector,Seed,Netherlands,Engineering
CMP_S_0142,StrategicSystems,Consulting,Small business,Private Sector,Series B,Switzerland,Operations
CMP_I_0143,InnovativeAnalytics,Automotive,Large Enterprise,Franchise,IPO,Sweden,Engineering
CMP_F_0144,FutureSystems,Agriculture,Start-up,Franchise,Bootstrapped,Peru,Operations
CMP_C_0145,CreativeIndustries,Finance,Medium Enterprise,Joint Venture,Series B,Kenya,Staffing
CMP_S_0146,StrategicSystems,Manufacturing,Start-up,Public Sector,Series B,Brazil,Logistics
CMP_G_0147,GlobalPartners,Mining,Medium Enterprise,Public Sector,Bootstrapped,Morocco,Staffing
CMP_I_0148,InnovativePartners,Automotive,Medium Enterprise,Private Sector,Series A,France,Engineering
CMP_D_0149,DynamicAnalytics,Banking,Medium Enterprise,Public Sector,IPO,UAE,Consulting
CMP_F_0150,FutureIndustries,Finance,Medium Enterprise,Franchise,IPO,USA,Data
CMP_A_0151,AdvancedSystems,Healthcare,Medium Enterprise,Franchise,IPO,Canada,Data
CMP_G_0152,GlobalPartners,Consulting,Large Enterprise,Public Sector,IPO,France,Consulting
CMP_G_0153,GlobalVentures,Retail,Large Enterprise,Franchise,Series B,USA,Cloud
CMP_L_0154,LeadingConsulting,Consulting,Large Enterprise,Public Sector,Series B,UK,Operations
CMP_S_0155,StrategicSystems,Energy,Large Enterprise,Public Sector,Series A,Saudi Arabia,Consulting
CMP_F_0156,FutureVentures,Manufacturing,Large Enterprise,Public Sector,Series A,New Zealand,T&M
CMP_D_0157,DynamicSystems,Manufacturing,Start-up,Franchise,Bootstrapped,Japan,T&M
CMP_A_0158,AdvancedVentures,Mining,Large Enterprise,Public Sector,IPO,S. Africa,Staffing
CMP_S_0159,StrategicSolutions,Healthcare,Small business,Franchise,Seed,Canada,Cloud
CMP_L_0160,LeadingIndustries,Manufacturing,Large Enterprise,Franchise,Series B,Mexico,Logistics
CMP_A_0161,AdvancedAnalytics,Energy,Start-up,Public Sector,Series A,Argentina,Operations
CMP_I_0162,InnovativeVentures,Energy,Medium Enterprise,Joint Venture,IPO,Bahrain,Consulting
CMP_I_0163,InnovativePartners,Mining,Start-up,Private Sector,Bootstrapped,Morocco,Staffing
CMP_F_0164,FutureTech,Agriculture,Small business,Private Sector,Seed,Argentina,Operations
CMP_L_0165,LeadingConsulting,Telecommunications,Start-up,Public Sector,IPO,Mozambique,Staffing
CMP_F_0166,FutureTech,Automotive,Medium Enterprise,Franchise,Seed,UK,Consulting
CMP_A_0167,AdvancedTech,Real Estate,Medium Enterprise,Franchise,Seed,Bahrain,Data
CMP_C_0168,CreativeTech,Technology,Start-up,Franchise,Series A,USA,Marketing
CMP_S_0169,StrategicSystems,Banking,Large Enterprise,Franchise,IPO,Bahrain,Data
CMP_S_0170,StrategicVentures,Automotive,Small business,Private Sector,Series B,Sweden,Consulting
CMP_S_0171,StrategicTech,Finance,Start-up,Joint Venture,Seed,Morocco,Service
CMP_D_0172,DynamicSystems,Agriculture,Medium Enterprise,Franchise,Bootstrapped,Brazil,Operations
CMP_I_0173,InnovativeVentures,Consulting,Start-up,Joint Venture,Series B,France,Consulting
CMP_I_0174,InnovativeVentures,Consulting,Large Enterprise,Private Sector,Series A,UK,Operations
CMP_A_0175,AdvancedSolutions,Finance,Large Enterprise,Public Sector,IPO,Canada,Data
CMP_A_0176,AdvancedSolutions,Manufacturing,Small business,Joint Venture,Series A,New Zealand,AI
CMP_D_0177,DynamicVentures,Manufacturing,Medium Enterprise,Private Sector,Series B,Mexico,Operations
CMP_A_0178,AdvancedSystems,Banking,Large Enterprise,Public Sector,Series A,UK,Operations
CMP_D_0179,DynamicConsulting,Retail,Small business,Franchise,Seed,USA,Marketing
CMP_C_0180,CreativeConsulting,Retail,Small business,Private Sector,Series A,USA,Cloud
CMP_D_0181,DynamicAnalytics,Retail,Small business,Joint Venture,IPO,Canada,Cloud
CMP_L_0182,LeadingVentures,Pharmaceuticals,Start-up,Private Sector,IPO,Israel,Consulting
CMP_A_0183,AdvancedIndustries,Telecommunications,Medium Enterprise,Private Sector,Seed,Kenya,Staffing
CMP_L_0184,LeadingSolutions,Finance,Medium Enterprise,Franchise,Series A,USA,Cloud
CMP_A_0185,AdvancedTech,Technology,Start-up,Joint Venture,Seed,USA,Cloud
CMP_C_0186,CreativeIndustries,Finance,Small business,Public Sector,Seed,Mozambique,Staffing
CMP_C_0187,CreativeConsulting,Healthcare,Large Enterprise,Franchise,Series A,USA,Data
CMP_L_0188,LeadingIndustries,Telecommunications,Large Enterprise,Private Sector,Bootstrapped,Mozambique,Staffing
CMP_D_0189,DynamicSystems,Technology,Start-up,Franchise,Series A,Japan,T&M
CMP_S_0190,StrategicAnalytics,Agriculture,Large Enterprise,Franchise,IPO,Brazil,Operations
CMP_F_0191,FutureConsulting,E-Commerce,Small business,Public Sector,IPO,S. Korea,Staffing
CMP_I_0192,InnovativeVentures,Technology,Small business,Public Sector,Series A,Canada,Data
CMP_C_0193,CreativeTech,Healthcare,Start-up,Private Sector,IPO,Canada,Marketing
CMP_G_0194,GlobalIndustries,Energy,Start-up,Joint Venture,Series A,Qatar,Consulting
CMP_D_0195,DynamicPartners,Technology,Medium Enterprise,Franchise,Series B,Japan,AI
CMP_L_0196,LeadingSolutions,Manufacturing,Start-up,Franchise,Series A,Brazil,Operations
CMP_A_0197,AdvancedTech,Manufacturing,Large Enterprise,Franchise,IPO,S. Korea,AI
CMP_C_0198,CreativeVentures,Real Estate,Large Enterprise,Public Sector,Series B,Saudi Arabia,Data
CMP_I_0199,InnovativePartners,Banking,Medium Enterprise,Private Sector,IPO,Saudi Arabia,Consulting
CMP_L_0200,LeadingSolutions,Agriculture,Small business,Public Sector,Seed,Colombia,Operations
CMP_I_0201,InnovativeTech,Banking,Medium Enterprise,Joint Venture,Seed,Israel,Consulting
CMP_C_0202,CreativeTech,Retail,Start-up,Joint Venture,Seed,Canada,Marketing
CMP_S_0203,StrategicIndustries,Energy,Medium Enterprise,Joint Venture,IPO,Mexico,Operations
CMP_L_0204,LeadingSystems,Healthcare,Medium Enterprise,Franchise,IPO,Canada,Cloud
CMP_S_0205,StrategicSolutions,Agriculture,Start-up,Private Sector,Series B,Peru,Operations
CMP_F_0206,FutureSolutions,Technology,Large Enterprise,Public Sector,IPO,Indonesia,T&M
CMP_A_0207,AdvancedTech,Retail,Medium Enterprise,Private Sector,Bootstrapped,USA,Data
CMP_G_0208,GlobalSolutions,Consulting,Small business,Joint Venture,Seed,UK,Engineering
CMP_A_0209,AdvancedTech,Telecommunications,Large Enterprise,Joint Venture,Series A,S. Africa,Staffing
CMP_C_0210,CreativeIndustries,E-Commerce,Medium Enterprise,Franchise,IPO,Indonesia,Staffing
CMP_C_0211,CreativeVentures,Manufacturing,Large Enterprise,Franchise,Series B,Singapore,Staffing
CMP_L_0212,LeadingSystems,E-Commerce,Small business,Private Sector,IPO,New Zealand,Staffing
CMP_S_0213,StrategicSystems,Consulting,Large Enterprise,Franchise,Seed,Israel,Operations
CMP_A_0214,AdvancedIndustries,Energy,Start-up,Franchise,Bootstrapped,UAE,Data
CMP_L_0215,LeadingSolutions,Mining,Small business,Private Sector,Seed,S. Africa,Service
CMP_D_0216,DynamicIndustries,Telecommunications,Small business,Joint Venture,Bootstrapped,S. Africa,Staffing
CMP_A_0217,AdvancedSystems,Automotive,Small business,Joint Venture,Series A,Germany,Operations
CMP_I_0218,InnovativeVentures,Manufacturing,Large Enterprise,Franchise,Bootstrapped,Indonesia,T&M
CMP_C_0219,CreativeVentures,Energy,Small business,Joint Venture,Bootstrapped,UAE,Data
CMP_L_0220,LeadingAnalytics,E-Commerce,Start-up,Private Sector,IPO,Singapore,Staffing
CMP_A_0221,AdvancedTech,Technology,Medium Enterprise,Franchise,Bootstrapped,Singapore,Staffing
CMP_C_0222,CreativeAnalytics,Banking,Medium Enterprise,Private Sector,Series A,Israel,Consulting
CMP_I_0223,InnovativeSolutions,Finance,Start-up,Joint Venture,Series B,Canada,Data
CMP_F_0224,FutureSolutions,Consulting,Start-up,Private Sector,Series A,France,Operations
CMP_D_0225,DynamicVentures,Banking,Large Enterprise,Private Sector,Bootstrapped,Netherlands,Engineering
CMP_G_0226,GlobalVentures,Consulting,Large Enterprise,Joint Venture,Bootstrapped,France,Consulting
CMP_L_0227,LeadingSystems,Finance,Medium Enterprise,Private Sector,Bootstrapped,China,AI
CMP_S_0228,StrategicVentures,E-Commerce,Start-up,Public Sector,Series A,China,Staffing
CMP_S_0229,StrategicVentures,Energy,Medium Enterprise,Franchise,IPO,Colombia,Operations
CMP_D_0230,DynamicSolutions,Telecommunications,Large Enterprise,Public Sector,Bootstrapped,Morocco,Staffing
CMP_G_0231,GlobalIndustries,Retail,Large Enterprise,Public Sector,IPO,USA,Marketing
CMP_L_0232,LeadingIndustries,Banking,Small business,Public Sector,Series A,Qatar,Data
CMP_A_0233,AdvancedIndustries,Energy,Medium Enterprise,Public Sector,Series B,Argentina,Operations
CMP_A_0234,AdvancedPartners,Automotive,Small business,Private Sector,Series A,Switzerland,Consulting
CMP_I_0235,InnovativeIndustries,Pharmaceuticals,Medium Enterprise,Public Sector,Bootstrapped,Germany,Operations
CMP_I_0236,InnovativeConsulting,Healthcare,Medium Enterprise,Private Sector,Series A,Canada,Cloud
CMP_S_0237,StrategicConsulting,Agriculture,Large Enterprise,Public Sector,IPO,Chile,Operations
CMP_S_0238,StrategicConsulting,Manufacturing,Start-up,Private Sector,Series B,S. Korea,Staffing
CMP_F_0239,FutureConsulting,Banking,Medium Enterprise,Public Sector,Series B,Saudi Arabia,Consulting
CMP_C_0240,CreativePartners,Finance,Start-up,Joint Venture,Bootstrapped,USA,Data
CMP_C_0241,CreativePartners,Healthcare,Small business,Private Sector,IPO,USA,Cloud
CMP_F_0242,FutureTech,Automotive,Large Enterprise,Private Sector,Bootstrapped,Switzerland,Operations
CMP_L_0243,LeadingSolutions,Automotive,Small business,Joint Venture,Series A,France,Operations
CMP_A_0244,AdvancedVentures,E-Commerce,Small business,Public Sector,Series B,India,T&M
CMP_A_0245,AdvancedPartners,Manufacturing,Large Enterprise,Joint Venture,IPO,China,T&M
CMP_A_0246,AdvancedIndustries,Finance,Small business,Joint Venture,Seed,New Zealand,Staffing
CMP_S_0247,StrategicVentures,Finance,Small business,Franchise,IPO,Canada,Marketing
CMP_D_0248,DynamicVentures,Retail,Large Enterprise,Franchise,Series A,Canada,Marketing
CMP_G_0249,GlobalSystems,Manufacturing,Small business,Private Sector,IPO,Argentina,Operations
CMP_A_0250,AdvancedSystems,Retail,Start-up,Public Sector,Seed,USA,Cloud
CMP_I_0251,InnovativeSolutions,Banking,Start-up,Public Sector,Series A,Bahrain,Data
CMP_G_0252,GlobalConsulting,Mining,Medium Enterprise,Public Sector,Series B,S. Africa,Staffing
CMP_I_0253,InnovativeAnalytics,Agriculture,Large Enterprise,Public Sector,Seed,Mexico,Operations
CMP_L_0254,LeadingPartners,Real Estate,Large Enterprise,Joint Venture,Seed,Bahrain,Data
CMP_S_0255,StrategicTech,Real Estate,Large Enterprise,Joint Venture,Series A,Qatar,Consulting
CMP_F_0256,FutureIndustries,Healthcare,Large Enterprise,Public Sector,IPO,Canada,Marketing
CMP_C_0257,CreativeIndustries,Technology,Large Enterprise,Public Sector,Series B,Canada,Data
CMP_S_0258,StrategicSystems,Mining,Medium Enterprise,Public Sector,Series A,S. Africa,Service
CMP_F_0259,FutureTech,Technology,Large Enterprise,Joint Venture,Series A,USA,Marketing
CMP_A_0260,AdvancedVentures,Pharmaceuticals,Small business,Public Sector,IPO,UK,Engineering
CMP_F_0261,FuturePartners,Technology,Large Enterprise,Franchise,IPO,USA,Marketing
CMP_L_0262,LeadingSolutions,Consulting,Large Enterprise,Joint Venture,Series A,France,Engineering
CMP_D_0263,DynamicTech,Technology,Small business,Public Sector,Series A,Australia,AI
CMP_G_0264,GlobalSolutions,Pharmaceuticals,Start-up,Franchise,Series B,France,Engineering
CMP_C_0265,CreativeVentures,Energy,Medium Enterprise,Public Sector,IPO,Saudi Arabia,Data
CMP_F_0266,FutureSystems,Finance,Large Enterprise,Public Sector,Bootstrapped,Canada,Data
CMP_S_0267,StrategicVentures,Energy,Large Enterprise,Joint Venture,IPO,Bahrain,Data
CMP_F_0268,FutureSolutions,Banking,Start-up,Joint Venture,Seed,Qatar,Consulting
CMP_F_0269,FutureSolutions,Agriculture,Medium Enterprise,Joint Venture,IPO,Brazil,Logistics
CMP_I_0270,InnovativeSystems,Pharmaceuticals,Small business,Franchise,IPO,Germany,Consulting
CMP_I_0271,InnovativeTech,Manufacturing,Small business,Public Sector,Series B,Indonesia,AI
CMP_G_0272,GlobalAnalytics,Healthcare,Start-up,Public Sector,IPO,Canada,Cloud
CMP_C_0273,CreativeTech,Technology,Medium Enterprise,Joint Venture,Bootstrapped,Canada,Marketing
CMP_C_0274,CreativePartners,Banking,Start-up,Franchise,Series B,Bahrain,Consulting
CMP_D_0275,DynamicSystems,Healthcare,Start-up,Joint Venture,Series B,Canada,Data
CMP_F_0276,FuturePartners,Agriculture,Small business,Joint Venture,Seed,Mexico,Logistics
CMP_S_0277,StrategicSystems,Telecommunications,Medium Enterprise,Public Sector,Series B,Kenya,Service
CMP_A_0278,AdvancedSystems,Retail,Large Enterprise,Public Sector,Series B,Canada,Data
CMP_S_0279,StrategicIndustries,Retail,Start-up,Public Sector,IPO,USA,Cloud
CMP_S_0280,StrategicVentures,Finance,Start-up,Public Sector,Bootstrapped,Morocco,Service
CMP_D_0281,DynamicTech,Finance,Large Enterprise,Joint Venture,Seed,Canada,Cloud
CMP_I_0282,InnovativeAnalytics,Finance,Small business,Private Sector,Bootstrapped,Japan,T&M
CMP_S_0283,StrategicVentures,Finance,Large Enterprise,Public Sector,Bootstrapped,New Zealand,AI
CMP_I_0284,InnovativeSolutions,Manufacturing,Small business,Franchise,Series A,Japan,T&M
CMP_D_0285,DynamicVentures,Retail,Start-up,Private Sector,Seed,Canada,Cloud
CMP_G_0286,GlobalConsulting,Energy,Large Enterprise,Public Sector,Series A,Mexico,Logistics
CMP_C_0287,CreativeVentures,Healthcare,Start-up,Joint Venture,Series A,Canada,Marketing
CMP_S_0288,StrategicTech,Agriculture,Small business,Public Sector,Seed,Brazil,Operations
CMP_G_0289,GlobalSystems,Mining,Small business,Joint Venture,Series B,Mozambique,Service
CMP_A_0290,AdvancedSystems,Healthcare,Medium Enterprise,Joint Venture,Series B,USA,Data
CMP_C_0291,CreativeVentures,Banking,Small business,Franchise,IPO,Switzerland,Operations
CMP_S_0292,StrategicConsulting,Agriculture,Small business,Franchise,Seed,Mexico,Operations
CMP_I_0293,InnovativePartners,Agriculture,Small business,Joint Venture,Series B,Brazil,Operations
CMP_F_0294,FutureTech,E-Commerce,Start-up,Private Sector,Bootstrapped,S. Korea,AI
CMP_D_0295,DynamicVentures,Finance,Large Enterprise,Public Sector,Series B,S. Africa,Staffing
CMP_A_0296,AdvancedSystems,Consulting,Large Enterprise,Joint Venture,Series B,UK,Consulting
CMP_F_0297,FutureIndustries,Agriculture,Start-up,Joint Venture,Bootstrapped,Mexico,Operations
CMP_G_0298,GlobalConsulting,Finance,Small business,Public Sector,Bootstrapped,Canada,Cloud
CMP_D_0299,DynamicSolutions,Healthcare,Start-up,Joint Venture,Series B,USA,Data
CMP_L_0300,LeadingTech,Real Estate,Small business,Joint Venture,IPO,Bahrain,Consulting
CMP_I_0301,InnovativePartners,Technology,Start-up,Joint Venture,Series B,China,Staffing
CMP_L_0302,LeadingConsulting,Technology,Small business,Franchise,Series A,USA,Marketing
CMP_I_0303,InnovativePartners,Manufacturing,Start-up,Private Sector,Series B,Colombia,Logistics
CMP_C_0304,CreativeConsulting,Pharmaceuticals,Start-up,Joint Venture,Seed,UK,Operations
CMP_S_0305,StrategicTech,Telecommunications,Start-up,Public Sector,IPO,Morocco,Service
CMP_I_0306,InnovativeIndustries,Banking,Large Enterprise,Private Sector,IPO,UAE,Data
CMP_A_0307,AdvancedTech,Finance,Small business,Private Sector,Seed,USA,Cloud
CMP_C_0308,CreativePartners,Finance,Small business,Joint Venture,Seed,USA,Cloud
CMP_A_0309,AdvancedSolutions,Retail,Start-up,Joint Venture,IPO,Canada,Cloud
CMP_F_0310,FutureIndustries,Manufacturing,Small business,Public Sector,Seed,Argentina,Operations
CMP_L_0311,LeadingVentures,Automotive,Large Enterprise,Private Sector,IPO,Germany,Operations
CMP_S_0312,StrategicSystems,Technology,Large Enterprise,Franchise,IPO,China,AI
CMP_I_0313,InnovativePartners,Finance,Large Enterprise,Public Sector,Bootstrapped,USA,Cloud
CMP_L_0314,LeadingAnalytics,Retail,Medium Enterprise,Public Sector,Series A,Canada,Cloud
CMP_L_0315,LeadingTech,Real Estate,Large Enterprise,Private Sector,Series B,Saudi Arabia,Data
CMP_G_0316,GlobalSystems,Consulting,Small business,Private Sector,Bootstrapped,Sweden,Operations
CMP_S_0317,StrategicConsulting,Manufacturing,Small business,Franchise,Bootstrapped,Brazil,Logistics
CMP_I_0318,InnovativeVentures,Technology,Start-up,Public Sector,Series B,Singapore,Staffing
CMP_S_0319,StrategicAnalytics,Banking,Start-up,Joint Venture,IPO,UAE,Consulting
CMP_A_0320,AdvancedConsulting,Manufacturing,Small business,Private Sector,Bootstrapped,New Zealand,T&M
CMP_F_0321,FutureAnalytics,E-Commerce,Small business,Joint Venture,IPO,New Zealand,AI
CMP_A_0322,AdvancedSystems,Agriculture,Start-up,Joint Venture,Series A,Brazil,Logistics
CMP_I_0323,InnovativeVentures,Pharmaceuticals,Medium Enterprise,Private Sector,Series B,France,Operations
CMP_F_0324,FutureConsulting,Healthcare,Large Enterprise,Franchise,IPO,Canada,Marketing
CMP_I_0325,InnovativeAnalytics,Technology,Medium Enterprise,Public Sector,Seed,Canada,Marketing
CMP_I_0326,InnovativeSystems,Finance,Start-up,Public Sector,Series A,India,AI
CMP_S_0327,StrategicTech,Retail,Medium Enterprise,Public Sector,Bootstrapped,Canada,Data
