History_ID,Lead_ID,Stage,Timestamp,Rep_ID,Stage_Sequence,Notes,Stage_Engagement (in Days)
477,LDADC-ME-052,Proposal,2024-01-30 22:18:27,NA_ME,9,Notes for stage Proposal for Lead LDADC-ME-052,6
478,LDADC-ME-052,Negotiation,2024-02-06 22:18:27,NA_ME,10,Notes for stage Negotiation for Lead LDADC-ME-052,7
479,LDADC-ME-052,Deal Lost,2024-02-06 22:18:56,NA_ME,11,Notes for stage Deal Lost for Lead LDADC-ME-052,0
1213,LDADVA-AF-0130,Lead Captured,2025-05-07 13:38:05,SW_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-0130,0
1214,LDADVA-AF-0130,Qualified,2025-05-11 13:38:05,SW_AF,2,Notes for stage Qualified for Lead LDADVA-AF-0130,4
1215,LDADVA-AF-0130,Contacted,2025-05-16 13:38:05,SW_AF,3,Notes for stage Contacted for Lead LDADVA-AF-0130,5
1216,LDADVA-AF-0130,Responded,2025-05-19 13:38:05,SW_AF,4,Notes for stage Responded for Lead LDADVA-AF-0130,3
1217,LDADVA-AF-0130,Demo Scheduled,2025-05-23 13:38:05,SW_AF,5,Notes for stage Demo Scheduled for Lead LDADVA-AF-0130,4
1218,LDADVA-AF-0130,Demo,2025-05-25 13:38:05,SW_AF,6,Notes for stage Demo for Lead LDADVA-AF-0130,2
1219,LDADVA-AF-0130,Demo Completed,2025-05-29 13:38:05,SW_AF,7,Notes for stage Demo Completed for Lead LDADVA-AF-0130,4
1220,LDADVA-AF-0130,Proposal Sent,2025-06-03 13:38:05,SW_AF,8,Notes for stage Proposal Sent for Lead LDADVA-AF-0130,5
1221,LDADVA-AF-0130,Proposal,2025-06-09 13:38:05,SW_AF,9,Notes for stage Proposal for Lead LDADVA-AF-0130,6
1222,LDADVA-AF-0130,Negotiation,2025-06-16 13:38:05,SW_AF,10,Notes for stage Negotiation for Lead LDADVA-AF-0130,7
1223,LDADVA-AF-0130,Deal Lost,2025-06-16 13:38:56,SW_AF,11,Notes for stage Deal Lost for Lead LDADVA-AF-0130,0
1926,LDADVA-AF-0204,Lead Captured,2024-12-20 18:47:15,TB_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-0204,0
1927,LDADVA-AF-0204,Qualified,2024-12-24 18:47:15,TB_AF,2,Notes for stage Qualified for Lead LDADVA-AF-0204,4
1928,LDADVA-AF-0204,Contacted,2024-12-29 18:47:15,TB_AF,3,Notes for stage Contacted for Lead LDADVA-AF-0204,5
1929,LDADVA-AF-0204,Responded,2025-01-01 18:47:15,TB_AF,4,Notes for stage Responded for Lead LDADVA-AF-0204,3
1930,LDADVA-AF-0204,Demo Scheduled,2025-01-05 18:47:15,TB_AF,5,Notes for stage Demo Scheduled for Lead LDADVA-AF-0204,4
1931,LDADVA-AF-0204,Demo,2025-01-07 18:47:15,TB_AF,6,Notes for stage Demo for Lead LDADVA-AF-0204,2
1932,LDADVA-AF-0204,Demo Completed,2025-01-11 18:47:15,TB_AF,7,Notes for stage Demo Completed for Lead LDADVA-AF-0204,4
1933,LDADVA-AF-0204,Proposal Sent,2025-01-16 18:47:15,TB_AF,8,Notes for stage Proposal Sent for Lead LDADVA-AF-0204,5
1934,LDADVA-AF-0204,Proposal,2025-01-22 18:47:15,TB_AF,9,Notes for stage Proposal for Lead LDADVA-AF-0204,6
1935,LDADVA-AF-0204,Negotiation,2025-01-29 18:47:15,TB_AF,10,Notes for stage Negotiation for Lead LDADVA-AF-0204,7
1936,LDADVA-AF-0204,Deal Lost,2025-01-29 18:47:22,TB_AF,11,Notes for stage Deal Lost for Lead LDADVA-AF-0204,0
1973,LDADVA-AF-0209,Lead Captured,2025-08-24 03:37:17,SW_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-0209,0
1974,LDADVA-AF-0209,Qualified,2025-08-28 03:37:17,SW_AF,2,Notes for stage Qualified for Lead LDADVA-AF-0209,4
1975,LDADVA-AF-0209,Contacted,2025-09-02 03:37:17,SW_AF,3,Notes for stage Contacted for Lead LDADVA-AF-0209,5
1976,LDADVA-AF-0209,Responded,2025-09-05 03:37:17,SW_AF,4,Notes for stage Responded for Lead LDADVA-AF-0209,3
1977,LDADVA-AF-0209,Demo Scheduled,2025-09-09 03:37:17,SW_AF,5,Notes for stage Demo Scheduled for Lead LDADVA-AF-0209,4
1978,LDADVA-AF-0209,Demo,2025-09-11 03:37:17,SW_AF,6,Notes for stage Demo for Lead LDADVA-AF-0209,2
1979,LDADVA-AF-0209,Demo Completed,2025-09-15 03:37:17,SW_AF,7,Notes for stage Demo Completed for Lead LDADVA-AF-0209,4
1980,LDADVA-AF-0209,Proposal Sent,2025-09-20 03:37:17,SW_AF,8,Notes for stage Proposal Sent for Lead LDADVA-AF-0209,5
1981,LDADVA-AF-0209,Proposal,2025-09-26 03:37:17,SW_AF,9,Notes for stage Proposal for Lead LDADVA-AF-0209,6
1982,LDADVA-AF-0209,Negotiation,2025-10-03 03:37:17,SW_AF,10,Notes for stage Negotiation for Lead LDADVA-AF-0209,7
1983,LDADVA-AF-0209,Deal Won,2025-10-03 03:38:15,SW_AF,11,Notes for stage Deal Won for Lead LDADVA-AF-0209,0
2158,LDADVA-AF-0230,Lead Captured,2023-10-20 23:08:57,TB_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-0230,0
2159,LDADVA-AF-0230,Qualified,2023-10-28 04:28:53,TB_AF,2,Notes for stage Qualified for Lead LDADVA-AF-0230,7
2160,LDADVA-AF-0230,Contacted,2023-11-05 05:49:14,TB_AF,3,Notes for stage Contacted for Lead LDADVA-AF-0230,8
2161,LDADVA-AF-0230,Responded,2023-11-08 18:45:28,TB_AF,4,Notes for stage Responded for Lead LDADVA-AF-0230,4
2162,LDADVA-AF-0230,Demo Scheduled,2023-11-12 19:36:15,TB_AF,5,Notes for stage Demo Scheduled for Lead LDADVA-AF-0230,4
2163,LDADVA-AF-0230,Demo,2023-11-14 19:47:12,TB_AF,6,Notes for stage Demo for Lead LDADVA-AF-0230,2
2164,LDADVA-AF-0230,Demo Completed,2023-11-18 21:44:39,TB_AF,7,Notes for stage Demo Completed for Lead LDADVA-AF-0230,4
2165,LDADVA-AF-0230,Proposal Sent,2023-11-23 22:00:05,TB_AF,8,Notes for stage Proposal Sent for Lead LDADVA-AF-0230,5
2166,LDADVA-AF-0230,Proposal,2023-11-29 22:10:15,TB_AF,9,Notes for stage Proposal for Lead LDADVA-AF-0230,6
2167,LDADVA-AF-0230,Negotiation,2023-12-06 22:11:54,TB_AF,10,Notes for stage Negotiation for Lead LDADVA-AF-0230,7
2168,LDADVA-AF-0230,Deal Lost,2023-12-06 22:22:27,TB_AF,11,Notes for stage Deal Lost for Lead LDADVA-AF-0230,0
2360,LDADVA-AF-0250,Lead Captured,2024-08-13 04:14:32,TB_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-0250,0
2361,LDADVA-AF-0250,Qualified,2024-08-17 04:14:32,TB_AF,2,Notes for stage Qualified for Lead LDADVA-AF-0250,4
2362,LDADVA-AF-0250,Contacted,2024-08-22 04:14:32,TB_AF,3,Notes for stage Contacted for Lead LDADVA-AF-0250,5
2363,LDADVA-AF-0250,Responded,2024-08-25 04:14:32,TB_AF,4,Notes for stage Responded for Lead LDADVA-AF-0250,3
2364,LDADVA-AF-0250,Demo Scheduled,2024-08-29 04:14:32,TB_AF,5,Notes for stage Demo Scheduled for Lead LDADVA-AF-0250,4
2365,LDADVA-AF-0250,Demo,2024-08-31 04:14:32,TB_AF,6,Notes for stage Demo for Lead LDADVA-AF-0250,2
2366,LDADVA-AF-0250,Demo Completed,2024-09-04 04:14:32,TB_AF,7,Notes for stage Demo Completed for Lead LDADVA-AF-0250,4
2367,LDADVA-AF-0250,Proposal Sent,2024-09-09 04:14:32,TB_AF,8,Notes for stage Proposal Sent for Lead LDADVA-AF-0250,5
2368,LDADVA-AF-0250,Proposal,2024-09-15 04:14:32,TB_AF,9,Notes for stage Proposal for Lead LDADVA-AF-0250,6
2369,LDADVA-AF-0250,Negotiation,2024-09-22 04:14:32,TB_AF,10,Notes for stage Negotiation for Lead LDADVA-AF-0250,7
2370,LDADVA-AF-0250,Deal Won,2024-09-22 04:14:43,TB_AF,11,Notes for stage Deal Won for Lead LDADVA-AF-0250,0
2465,LDADVA-AF-0261,Lead Captured,2025-08-09 13:38:14,SW_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-0261,0
2466,LDADVA-AF-0261,Qualified,2025-08-13 13:38:14,SW_AF,2,Notes for stage Qualified for Lead LDADVA-AF-0261,4
2467,LDADVA-AF-0261,Contacted,2025-08-18 13:38:14,SW_AF,3,Notes for stage Contacted for Lead LDADVA-AF-0261,5
2468,LDADVA-AF-0261,Responded,2025-08-21 13:38:14,SW_AF,4,Notes for stage Responded for Lead LDADVA-AF-0261,3
2469,LDADVA-AF-0261,Demo Scheduled,2025-08-25 13:38:14,SW_AF,5,Notes for stage Demo Scheduled for Lead LDADVA-AF-0261,4
2470,LDADVA-AF-0261,Demo,2025-08-27 13:38:14,SW_AF,6,Notes for stage Demo for Lead LDADVA-AF-0261,2
2471,LDADVA-AF-0261,Demo Completed,2025-08-31 13:38:14,SW_AF,7,Notes for stage Demo Completed for Lead LDADVA-AF-0261,4
2472,LDADVA-AF-0261,Proposal Sent,2025-09-05 13:38:14,SW_AF,8,Notes for stage Proposal Sent for Lead LDADVA-AF-0261,5
2473,LDADVA-AF-0261,Proposal,2025-09-11 13:38:14,SW_AF,9,Notes for stage Proposal for Lead LDADVA-AF-0261,6
2474,LDADVA-AF-0261,Negotiation,2025-09-18 13:38:14,SW_AF,10,Notes for stage Negotiation for Lead LDADVA-AF-0261,7
2475,LDADVA-AF-0261,Deal Won,2025-09-18 13:39:14,SW_AF,11,Notes for stage Deal Won for Lead LDADVA-AF-0261,0
2526,LDADVA-AF-0268,Lead Captured,2025-01-06 11:00:13,SW_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-0268,0
2527,LDADVA-AF-0268,Qualified,2025-02-02 16:19:43,SW_AF,2,Notes for stage Qualified for Lead LDADVA-AF-0268,27
2889,LDADVA-AF-0305,Lead Captured,2025-02-03 09:05:54,TB_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-0305,0
2890,LDADVA-AF-0305,Qualified,2025-03-28 09:34:18,TB_AF,2,Notes for stage Qualified for Lead LDADVA-AF-0305,53
3558,LDADVA-AF-0377,Lead Captured,2024-07-17 00:57:59,SW_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-0377,0
3559,LDADVA-AF-0377,Qualified,2024-07-23 00:41:02,SW_AF,2,Notes for stage Qualified for Lead LDADVA-AF-0377,6
3560,LDADVA-AF-0377,Contacted,2024-08-11 12:07:16,SW_AF,3,Notes for stage Contacted for Lead LDADVA-AF-0377,19
5578,LDADVA-AF-0599,Lead Captured,2024-10-15 16:02:27,SW_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-0599,0
5579,LDADVA-AF-0599,Qualified,2024-10-24 15:58:41,SW_AF,2,Notes for stage Qualified for Lead LDADVA-AF-0599,9
5580,LDADVA-AF-0599,Contacted,2024-11-01 14:49:10,SW_AF,3,Notes for stage Contacted for Lead LDADVA-AF-0599,8
5581,LDADVA-AF-0599,Responded,2024-11-05 14:48:35,SW_AF,4,Notes for stage Responded for Lead LDADVA-AF-0599,4
5582,LDADVA-AF-0599,Demo Scheduled,2024-11-09 15:21:28,SW_AF,5,Notes for stage Demo Scheduled for Lead LDADVA-AF-0599,4
5583,LDADVA-AF-0599,Demo,2024-11-11 18:35:59,SW_AF,6,Notes for stage Demo for Lead LDADVA-AF-0599,2
5584,LDADVA-AF-0599,Demo Completed,2024-11-15 18:54:22,SW_AF,7,Notes for stage Demo Completed for Lead LDADVA-AF-0599,4
5585,LDADVA-AF-0599,Proposal Sent,2024-11-20 19:15:52,SW_AF,8,Notes for stage Proposal Sent for Lead LDADVA-AF-0599,5
5586,LDADVA-AF-0599,Proposal,2024-11-26 19:19:41,SW_AF,9,Notes for stage Proposal for Lead LDADVA-AF-0599,6
5587,LDADVA-AF-0599,Negotiation,2024-12-03 19:20:13,SW_AF,10,Notes for stage Negotiation for Lead LDADVA-AF-0599,7
5588,LDADVA-AF-0599,Deal Won,2024-12-03 19:20:44,SW_AF,11,Notes for stage Deal Won for Lead LDADVA-AF-0599,0
6387,LDADVA-AF-0683,Lead Captured,2023-12-19 19:24:14,SW_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-0683,0
6388,LDADVA-AF-0683,Qualified,2023-12-25 08:26:33,SW_AF,2,Notes for stage Qualified for Lead LDADVA-AF-0683,6
6389,LDADVA-AF-0683,Contacted,2023-12-31 16:41:26,SW_AF,3,Notes for stage Contacted for Lead LDADVA-AF-0683,6
6390,LDADVA-AF-0683,Responded,2024-01-03 19:29:40,SW_AF,4,Notes for stage Responded for Lead LDADVA-AF-0683,3
6391,LDADVA-AF-0683,Demo Scheduled,2024-01-28 02:10:11,SW_AF,5,Notes for stage Demo Scheduled for Lead LDADVA-AF-0683,24
7305,LDADVA-AF-0782,Lead Captured,2024-04-13 10:12:28,TB_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-0782,0
7306,LDADVA-AF-0782,Qualified,2024-04-18 21:22:36,TB_AF,2,Notes for stage Qualified for Lead LDADVA-AF-0782,5
7307,LDADVA-AF-0782,Contacted,2024-05-14 22:46:05,TB_AF,3,Notes for stage Contacted for Lead LDADVA-AF-0782,26
7584,LDADVA-AF-0815,Lead Captured,2024-04-23 08:39:04,SW_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-0815,0
7585,LDADVA-AF-0815,Qualified,2024-04-27 08:39:04,SW_AF,2,Notes for stage Qualified for Lead LDADVA-AF-0815,4
7586,LDADVA-AF-0815,Contacted,2024-05-02 08:39:04,SW_AF,3,Notes for stage Contacted for Lead LDADVA-AF-0815,5
7587,LDADVA-AF-0815,Responded,2024-05-05 08:39:04,SW_AF,4,Notes for stage Responded for Lead LDADVA-AF-0815,3
7588,LDADVA-AF-0815,Demo Scheduled,2024-05-09 08:39:04,SW_AF,5,Notes for stage Demo Scheduled for Lead LDADVA-AF-0815,4
7589,LDADVA-AF-0815,Demo,2024-05-11 08:39:04,SW_AF,6,Notes for stage Demo for Lead LDADVA-AF-0815,2
7590,LDADVA-AF-0815,Demo Completed,2024-05-15 08:39:04,SW_AF,7,Notes for stage Demo Completed for Lead LDADVA-AF-0815,4
7591,LDADVA-AF-0815,Proposal Sent,2024-05-20 08:39:04,SW_AF,8,Notes for stage Proposal Sent for Lead LDADVA-AF-0815,5
7592,LDADVA-AF-0815,Proposal,2024-05-26 08:39:04,SW_AF,9,Notes for stage Proposal for Lead LDADVA-AF-0815,6
7593,LDADVA-AF-0815,Negotiation,2024-06-02 08:39:04,SW_AF,10,Notes for stage Negotiation for Lead LDADVA-AF-0815,7
7594,LDADVA-AF-0815,Deal Lost,2024-06-02 08:39:39,SW_AF,11,Notes for stage Deal Lost for Lead LDADVA-AF-0815,0
8149,LDADVA-AF-0875,Lead Captured,2024-08-30 00:26:28,TB_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-0875,0
8150,LDADVA-AF-0875,Qualified,2024-09-04 06:33:11,TB_AF,2,Notes for stage Qualified for Lead LDADVA-AF-0875,5
8151,LDADVA-AF-0875,Contacted,2024-09-13 05:06:36,TB_AF,3,Notes for stage Contacted for Lead LDADVA-AF-0875,9
8152,LDADVA-AF-0875,Responded,2024-09-16 13:41:17,TB_AF,4,Notes for stage Responded for Lead LDADVA-AF-0875,3
8153,LDADVA-AF-0875,Demo Scheduled,2024-09-21 02:04:02,TB_AF,5,Notes for stage Demo Scheduled for Lead LDADVA-AF-0875,5
8154,LDADVA-AF-0875,Demo,2024-09-23 22:23:49,TB_AF,6,Notes for stage Demo for Lead LDADVA-AF-0875,3
8155,LDADVA-AF-0875,Demo Completed,2024-09-28 17:01:19,TB_AF,7,Notes for stage Demo Completed for Lead LDADVA-AF-0875,5
8156,LDADVA-AF-0875,Proposal Sent,2024-10-04 20:23:38,TB_AF,8,Notes for stage Proposal Sent for Lead LDADVA-AF-0875,6
8157,LDADVA-AF-0875,Proposal,2024-10-11 02:24:23,TB_AF,9,Notes for stage Proposal for Lead LDADVA-AF-0875,6
8158,LDADVA-AF-0875,Negotiation,2024-10-18 02:45:14,TB_AF,10,Notes for stage Negotiation for Lead LDADVA-AF-0875,7
8159,LDADVA-AF-0875,Deal Won,2024-10-18 03:37:50,TB_AF,11,Notes for stage Deal Won for Lead LDADVA-AF-0875,0
8171,LDADVA-AF-0877,Lead Captured,2024-04-02 00:02:18,TB_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-0877,0
8172,LDADVA-AF-0877,Qualified,2024-04-06 00:02:18,TB_AF,2,Notes for stage Qualified for Lead LDADVA-AF-0877,4
8173,LDADVA-AF-0877,Contacted,2024-04-11 00:02:18,TB_AF,3,Notes for stage Contacted for Lead LDADVA-AF-0877,5
8174,LDADVA-AF-0877,Responded,2024-04-14 00:02:18,TB_AF,4,Notes for stage Responded for Lead LDADVA-AF-0877,3
8175,LDADVA-AF-0877,Demo Scheduled,2024-04-18 00:02:18,TB_AF,5,Notes for stage Demo Scheduled for Lead LDADVA-AF-0877,4
8176,LDADVA-AF-0877,Demo,2024-04-20 00:02:18,TB_AF,6,Notes for stage Demo for Lead LDADVA-AF-0877,2
8177,LDADVA-AF-0877,Demo Completed,2024-04-24 00:02:18,TB_AF,7,Notes for stage Demo Completed for Lead LDADVA-AF-0877,4
8178,LDADVA-AF-0877,Proposal Sent,2024-04-29 00:02:18,TB_AF,8,Notes for stage Proposal Sent for Lead LDADVA-AF-0877,5
8179,LDADVA-AF-0877,Proposal,2024-05-05 00:02:18,TB_AF,9,Notes for stage Proposal for Lead LDADVA-AF-0877,6
8180,LDADVA-AF-0877,Negotiation,2024-05-05 00:03:18,TB_AF,10,Notes for stage Negotiation for Lead LDADVA-AF-0877,0
9749,LDADVA-AF-1047,Lead Captured,2024-07-18 07:39:15,SW_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-1047,0
9750,LDADVA-AF-1047,Qualified,2024-07-25 06:31:04,SW_AF,2,Notes for stage Qualified for Lead LDADVA-AF-1047,7
9751,LDADVA-AF-1047,Contacted,2024-08-27 12:48:32,SW_AF,3,Notes for stage Contacted for Lead LDADVA-AF-1047,33
9950,LDADVA-AF-1071,Lead Captured,2023-12-26 02:46:10,SW_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-1071,0
9951,LDADVA-AF-1071,Qualified,2023-12-30 02:46:10,SW_AF,2,Notes for stage Qualified for Lead LDADVA-AF-1071,4
9952,LDADVA-AF-1071,Contacted,2024-01-04 02:46:10,SW_AF,3,Notes for stage Contacted for Lead LDADVA-AF-1071,5
9953,LDADVA-AF-1071,Responded,2024-01-07 02:46:10,SW_AF,4,Notes for stage Responded for Lead LDADVA-AF-1071,3
9954,LDADVA-AF-1071,Demo Scheduled,2024-01-11 02:46:10,SW_AF,5,Notes for stage Demo Scheduled for Lead LDADVA-AF-1071,4
9955,LDADVA-AF-1071,Demo,2024-01-13 02:46:10,SW_AF,6,Notes for stage Demo for Lead LDADVA-AF-1071,2
9956,LDADVA-AF-1071,Demo Completed,2024-01-17 02:46:10,SW_AF,7,Notes for stage Demo Completed for Lead LDADVA-AF-1071,4
9957,LDADVA-AF-1071,Proposal Sent,2024-01-22 02:46:10,SW_AF,8,Notes for stage Proposal Sent for Lead LDADVA-AF-1071,5
9958,LDADVA-AF-1071,Proposal,2024-01-28 02:46:10,SW_AF,9,Notes for stage Proposal for Lead LDADVA-AF-1071,6
9959,LDADVA-AF-1071,Negotiation,2024-02-04 02:46:10,SW_AF,10,Notes for stage Negotiation for Lead LDADVA-AF-1071,7
9960,LDADVA-AF-1071,Deal Won,2024-02-04 02:46:17,SW_AF,11,Notes for stage Deal Won for Lead LDADVA-AF-1071,0
10204,LDADVA-AF-1097,Lead Captured,2025-03-27 05:17:55,SW_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-1097,0
10267,LDADVA-AF-1105,Lead Captured,2024-11-17 12:12:47,SW_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-1105,0
10268,LDADVA-AF-1105,Qualified,2024-11-24 04:49:30,SW_AF,2,Notes for stage Qualified for Lead LDADVA-AF-1105,7
10269,LDADVA-AF-1105,Contacted,2024-12-05 20:44:24,SW_AF,3,Notes for stage Contacted for Lead LDADVA-AF-1105,12
10270,LDADVA-AF-1105,Responded,2024-12-09 05:29:07,SW_AF,4,Notes for stage Responded for Lead LDADVA-AF-1105,3
10271,LDADVA-AF-1105,Demo Scheduled,2024-12-17 02:03:52,SW_AF,5,Notes for stage Demo Scheduled for Lead LDADVA-AF-1105,8
10272,LDADVA-AF-1105,Demo,2024-12-19 13:10:39,SW_AF,6,Notes for stage Demo for Lead LDADVA-AF-1105,2
10273,LDADVA-AF-1105,Demo Completed,2024-12-27 07:16:55,SW_AF,7,Notes for stage Demo Completed for Lead LDADVA-AF-1105,8
10274,LDADVA-AF-1105,Proposal Sent,2025-01-01 17:41:11,SW_AF,8,Notes for stage Proposal Sent for Lead LDADVA-AF-1105,5
10275,LDADVA-AF-1105,Proposal,2025-01-08 09:22:46,SW_AF,9,Notes for stage Proposal for Lead LDADVA-AF-1105,7
10276,LDADVA-AF-1105,Negotiation,2025-01-15 14:23:55,SW_AF,10,Notes for stage Negotiation for Lead LDADVA-AF-1105,7
10277,LDADVA-AF-1105,Deal Won,2025-01-15 15:43:44,SW_AF,11,Notes for stage Deal Won for Lead LDADVA-AF-1105,0
10355,LDADVA-AF-1113,Lead Captured,2024-08-10 19:33:43,SW_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-1113,0
10356,LDADVA-AF-1113,Qualified,2024-08-14 19:33:43,SW_AF,2,Notes for stage Qualified for Lead LDADVA-AF-1113,4
10357,LDADVA-AF-1113,Contacted,2024-08-19 19:33:43,SW_AF,3,Notes for stage Contacted for Lead LDADVA-AF-1113,5
10358,LDADVA-AF-1113,Responded,2024-08-22 19:33:43,SW_AF,4,Notes for stage Responded for Lead LDADVA-AF-1113,3
10359,LDADVA-AF-1113,Demo Scheduled,2024-08-26 19:33:43,SW_AF,5,Notes for stage Demo Scheduled for Lead LDADVA-AF-1113,4
10360,LDADVA-AF-1113,Demo,2024-08-28 19:33:43,SW_AF,6,Notes for stage Demo for Lead LDADVA-AF-1113,2
10361,LDADVA-AF-1113,Demo Completed,2024-09-01 19:33:43,SW_AF,7,Notes for stage Demo Completed for Lead LDADVA-AF-1113,4
10362,LDADVA-AF-1113,Proposal Sent,2024-09-06 19:33:43,SW_AF,8,Notes for stage Proposal Sent for Lead LDADVA-AF-1113,5
10363,LDADVA-AF-1113,Proposal,2024-09-12 19:33:43,SW_AF,9,Notes for stage Proposal for Lead LDADVA-AF-1113,6
10364,LDADVA-AF-1113,Negotiation,2024-09-19 19:33:43,SW_AF,10,Notes for stage Negotiation for Lead LDADVA-AF-1113,7
10365,LDADVA-AF-1113,Deal Won,2024-09-19 19:34:41,SW_AF,11,Notes for stage Deal Won for Lead LDADVA-AF-1113,0
11683,LDADVA-AF-1251,Lead Captured,2025-05-23 07:45:22,TB_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-1251,0
11684,LDADVA-AF-1251,Qualified,2025-05-29 09:27:42,TB_AF,2,Notes for stage Qualified for Lead LDADVA-AF-1251,6
11685,LDADVA-AF-1251,Contacted,2025-06-04 17:11:23,TB_AF,3,Notes for stage Contacted for Lead LDADVA-AF-1251,6
11686,LDADVA-AF-1251,Responded,2025-06-10 06:05:22,TB_AF,4,Notes for stage Responded for Lead LDADVA-AF-1251,6
11687,LDADVA-AF-1251,Demo Scheduled,2025-06-17 03:20:20,TB_AF,5,Notes for stage Demo Scheduled for Lead LDADVA-AF-1251,7
11688,LDADVA-AF-1251,Demo,2025-06-19 03:21:51,TB_AF,6,Notes for stage Demo for Lead LDADVA-AF-1251,2
11689,LDADVA-AF-1251,Demo Completed,2025-06-23 03:22:13,TB_AF,7,Notes for stage Demo Completed for Lead LDADVA-AF-1251,4
11690,LDADVA-AF-1251,Proposal Sent,2025-06-28 03:22:52,TB_AF,8,Notes for stage Proposal Sent for Lead LDADVA-AF-1251,5
11691,LDADVA-AF-1251,Proposal,2025-07-04 03:22:52,TB_AF,9,Notes for stage Proposal for Lead LDADVA-AF-1251,6
11692,LDADVA-AF-1251,Negotiation,2025-07-11 03:22:53,TB_AF,10,Notes for stage Negotiation for Lead LDADVA-AF-1251,7
11693,LDADVA-AF-1251,Deal Won,2025-07-11 03:22:53,TB_AF,11,Notes for stage Deal Won for Lead LDADVA-AF-1251,0
12226,LDADVA-AF-1305,Lead Captured,2024-06-02 14:51:55,TB_AF,1,Notes for stage Lead Captured for Lead LDADVA-AF-1305,0
